"","Time","TimeMDT","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_Direction","Wind_SpeedMPH","Gust_SpeedMPH","PrecipitationIn","Events","Conditions","WindDirDegrees","DateUTC","TimeMST"
"87",2012-10-04 07:53:00,"7:53 AM",19.9,15.1,"81",30.42,10,"Calm","Calm","-","N/A",NA,"Partly Cloudy",0,"2012-10-04 13:53:00",NA
"88",2012-10-04 08:22:00,"8:22 AM",21.2,15.8,"80",30.29,9,"Calm","Calm","-","N/A",NA,"Mostly Cloudy",0,"2012-10-04 14:22:00",NA
"89",2012-10-04 08:53:00,"8:53 AM",23,18,"81",30.41,10,"Calm","Calm","-","N/A",NA,"Overcast",0,"2012-10-04 14:53:00",NA
"90",2012-10-04 09:53:00,"9:53 AM",28.9,21,"72",30.4,9,"Calm","Calm","-","N/A",NA,"Overcast",0,"2012-10-04 15:53:00",NA
"91",2012-10-04 10:53:00,"10:53 AM",33.1,21.9,"64",30.38,10,"SE","11.5","-","N/A",NA,"Overcast",140,"2012-10-04 16:53:00",NA
"92",2012-10-04 11:53:00,"11:53 AM",34,21,"59",30.38,10,"SE","8.1","-","N/A",NA,"Overcast",130,"2012-10-04 17:53:00",NA
"93",2012-10-04 12:53:00,"12:53 PM",35.1,21,"57",30.39,10,"SE","8.1","-","N/A",NA,"Overcast",140,"2012-10-04 18:53:00",NA
"94",2012-10-04 13:09:00,"1:09 PM",35.6,21.2,"56",30.28,10,"South","11.5","-","N/A",NA,"Overcast",180,"2012-10-04 19:09:00",NA
"95",2012-10-04 13:53:00,"1:53 PM",37,19.9,"50",30.36,10,"South","10.4","-","N/A",NA,"Scattered Clouds",190,"2012-10-04 19:53:00",NA
"96",2012-10-04 14:53:00,"2:53 PM",39,19,"45",30.35,10,"South","10.4","-","N/A",NA,"Scattered Clouds",190,"2012-10-04 20:53:00",NA
"97",2012-10-04 15:53:00,"3:53 PM",41,19.4,"42",30.24,10,"ENE","6.9","-","N/A",NA,"Overcast",60,"2012-10-04 21:53:00",NA
"98",2012-10-04 16:53:00,"4:53 PM",39.9,19,"43",30.35,10,"NE","5.8","-","N/A",NA,"Overcast",40,"2012-10-04 22:53:00",NA
"99",2012-10-04 17:53:00,"5:53 PM",39.9,18,"41",30.35,10,"Calm","Calm","-","N/A",NA,"Overcast",0,"2012-10-04 23:53:00",NA
"100",2012-10-04 18:53:00,"6:53 PM",37.9,21.9,"53",30.37,10,"Variable","4.6","-","N/A",NA,"Overcast",0,"2012-10-05 00:53:00",NA
"101",2012-10-04 19:53:00,"7:53 PM",37,21.9,"54",30.38,10,"Calm","Calm","-","N/A",NA,"Overcast",0,"2012-10-05 01:53:00",NA
"102",2012-10-04 20:53:00,"8:53 PM",34,24.1,"67",30.38,10,"West","4.6","-","N/A",NA,"Overcast",270,"2012-10-05 02:53:00",NA
"103",2012-10-04 21:53:00,"9:53 PM",34,24.1,"67",30.36,10,"NW","5.8","-","N/A",NA,"Overcast",320,"2012-10-05 03:53:00",NA
"104",2012-10-04 22:53:00,"10:53 PM",32,24.1,"73",30.38,10,"West","8.1","-","N/A",NA,"Overcast",280,"2012-10-05 04:53:00",NA
"105",2012-10-04 23:53:00,"11:53 PM",32,24.1,"73",30.37,10,"West","5.8","-","N/A",NA,"Overcast",280,"2012-10-05 05:53:00",NA
"106",2012-10-05 00:53:00,"12:53 AM",30.9,24.1,"76",30.37,10,"WNW","5.8","-","N/A",NA,"Overcast",290,"2012-10-05 06:53:00",NA
"107",2012-10-05 01:30:00,"1:30 AM",30.2,23,"75",30.29,10,"NW","5.8","-","N/A",NA,"Overcast",310,"2012-10-05 07:30:00",NA
"108",2012-10-05 01:53:00,"1:53 AM",30.2,23,"75",30.29,10,"WNW","5.8","-","N/A",NA,"Overcast",290,"2012-10-05 07:53:00",NA
"109",2012-10-05 02:53:00,"2:53 AM",30,23,"75",30.35,10,"NW","3.5","-","N/A",NA,"Overcast",310,"2012-10-05 08:53:00",NA
"110",2012-10-05 03:41:00,"3:41 AM",30.2,23,"75",30.29,10,"NNW","4.6","-","N/A",NA,"Overcast",330,"2012-10-05 09:41:00",NA
"111",2012-10-05 03:53:00,"3:53 AM",28.9,23,"78",30.35,10,"NW","4.6","-","N/A",NA,"Overcast",320,"2012-10-05 09:53:00",NA
"112",2012-10-05 04:53:00,"4:53 AM",28.9,23,"78",30.35,10,"NW","4.6","-","N/A",NA,"Overcast",320,"2012-10-05 10:53:00",NA
"113",2012-10-05 05:33:00,"5:33 AM",28.4,23,"80",30.3,10,"Calm","Calm","-","N/A",NA,"Overcast",0,"2012-10-05 11:33:00",NA
"114",2012-10-05 05:53:00,"5:53 AM",28.9,23,"78",30.35,10,"NW","3.5","-","N/A",NA,"Overcast",320,"2012-10-05 11:53:00",NA
"115",2012-10-05 06:00:00,"6:00 AM",28.4,23,"80",30.3,10,"NNW","3.5","-","N/A",NA,"Overcast",330,"2012-10-05 12:00:00",NA
"116",2012-10-05 06:53:00,"6:53 AM",30,23,"75",30.37,10,"Calm","Calm","-","N/A",NA,"Overcast",0,"2012-10-05 12:53:00",NA
"117",2012-10-05 07:53:00,"7:53 AM",28.9,21.9,"75",30.39,10,"WNW","3.5","-","N/A",NA,"Overcast",290,"2012-10-05 13:53:00",NA
"118",2012-10-05 08:53:00,"8:53 AM",28.9,21.9,"75",30.41,10,"NW","3.5","-","N/A",NA,"Overcast",320,"2012-10-05 14:53:00",NA
"119",2012-10-05 09:04:00,"9:04 AM",28.4,21.2,"74",30.33,10,"NW","4.6","-","N/A",NA,"Overcast",320,"2012-10-05 15:04:00",NA
"120",2012-10-05 09:22:00,"9:22 AM",28.4,23,"80",30.33,10,"NNW","3.5","-","N/A",NA,"Mostly Cloudy",330,"2012-10-05 15:22:00",NA
"121",2012-10-05 09:53:00,"9:53 AM",30.2,23,"75",30.33,10,"Calm","Calm","-","N/A",NA,"Mostly Cloudy",0,"2012-10-05 15:53:00",NA
"122",2012-10-05 10:16:00,"10:16 AM",32,23,"69",30.33,10,"Calm","Calm","-","N/A",NA,"Mostly Cloudy",0,"2012-10-05 16:16:00",NA
"123",2012-10-05 10:38:00,"10:38 AM",30.2,23,"75",30.33,10,"Calm","Calm","-","N/A",NA,"Scattered Clouds",0,"2012-10-05 16:38:00",NA
"124",2012-10-05 10:53:00,"10:53 AM",32,23,"69",30.42,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-05 16:53:00",NA
"125",2012-10-05 11:53:00,"11:53 AM",36,19,"50",30.4,10,"Calm","Calm","-","N/A",NA,"Partly Cloudy",0,"2012-10-05 17:53:00",NA
"126",2012-10-05 12:53:00,"12:53 PM",37,16,"42",30.39,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-05 18:53:00",NA
"127",2012-10-05 13:53:00,"1:53 PM",37.9,16,"41",30.38,10,"Variable","4.6","-","N/A",NA,"Clear",0,"2012-10-05 19:53:00",NA
"128",2012-10-05 14:53:00,"2:53 PM",41,15.1,"35",30.35,10,"NNW","6.9","-","N/A",NA,"Scattered Clouds",340,"2012-10-05 20:53:00",NA
"129",2012-10-05 15:53:00,"3:53 PM",42.1,7,"24",30.33,10,"NW","9.2","-","N/A",NA,"Clear",310,"2012-10-05 21:53:00",NA
"130",2012-10-05 16:53:00,"4:53 PM",43,10.9,"27",30.34,10,"NW","13.8","20.7","N/A",NA,"Clear",310,"2012-10-05 22:53:00",NA
"131",2012-10-05 17:53:00,"5:53 PM",39.9,15.1,"36",30.35,10,"NNE","12.7","-","N/A",NA,"Mostly Cloudy",30,"2012-10-05 23:53:00",NA
"132",2012-10-05 18:53:00,"6:53 PM",35.1,12.9,"40",30.39,10,"NNE","16.1","24.2","N/A",NA,"Scattered Clouds",20,"2012-10-06 00:53:00",NA
"133",2012-10-05 19:53:00,"7:53 PM",34,12.9,"42",30.43,10,"NNE","13.8","20.7","N/A",NA,"Overcast",20,"2012-10-06 01:53:00",NA
"134",2012-10-05 20:53:00,"8:53 PM",32,12.9,"45",30.45,10,"NNE","11.5","19.6","N/A",NA,"Overcast",20,"2012-10-06 02:53:00",NA
"135",2012-10-05 21:53:00,"9:53 PM",32,9,"38",30.45,10,"North","5.8","-","N/A",NA,"Partly Cloudy",10,"2012-10-06 03:53:00",NA
"136",2012-10-05 22:53:00,"10:53 PM",28.9,12,"49",30.45,10,"WNW","4.6","-","N/A",NA,"Clear",300,"2012-10-06 04:53:00",NA
"137",2012-10-05 23:53:00,"11:53 PM",23,10,"58",30.47,10,"South","5.8","-","N/A",NA,"Clear",180,"2012-10-06 05:53:00",NA
"138",2012-10-06 00:53:00,"12:53 AM",19.9,9,"62",30.47,10,"ESE","3.5","-","N/A",NA,"Clear",120,"2012-10-06 06:53:00",NA
"139",2012-10-06 01:53:00,"1:53 AM",18,8.1,"65",30.48,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-06 07:53:00",NA
"140",2012-10-06 02:53:00,"2:53 AM",15.1,7,"70",30.48,10,"SE","4.6","-","N/A",NA,"Clear",130,"2012-10-06 08:53:00",NA
"141",2012-10-06 03:53:00,"3:53 AM",15.1,7,"70",30.47,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-06 09:53:00",NA
"142",2012-10-06 04:53:00,"4:53 AM",15.1,7,"70",30.45,10,"ESE","5.8","-","N/A",NA,"Clear",120,"2012-10-06 10:53:00",NA
"143",2012-10-06 05:53:00,"5:53 AM",15.1,7,"70",30.46,10,"East","3.5","-","N/A",NA,"Clear",100,"2012-10-06 11:53:00",NA
"144",2012-10-06 06:53:00,"6:53 AM",15.1,7,"70",30.49,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-06 12:53:00",NA
"145",2012-10-06 07:53:00,"7:53 AM",15.1,7,"70",30.48,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-06 13:53:00",NA
"146",2012-10-06 08:53:00,"8:53 AM",18,8.1,"65",30.49,10,"South","3.5","-","N/A",NA,"Clear",170,"2012-10-06 14:53:00",NA
"147",2012-10-06 09:53:00,"9:53 AM",26.1,10.9,"53",30.45,10,"East","3.5","-","N/A",NA,"Clear",80,"2012-10-06 15:53:00",NA
"148",2012-10-06 10:53:00,"10:53 AM",30.9,12,"46",30.43,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-06 16:53:00",NA
"149",2012-10-06 11:53:00,"11:53 AM",37,7,"29",30.43,10,"NW","4.6","-","N/A",NA,"Clear",320,"2012-10-06 17:53:00",NA
"150",2012-10-06 12:53:00,"12:53 PM",39.9,8.1,"27",30.4,10,"Variable","3.5","-","N/A",NA,"Clear",0,"2012-10-06 18:53:00",NA
"151",2012-10-06 13:53:00,"1:53 PM",43,8.1,"24",30.38,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-06 19:53:00",NA
"152",2012-10-06 14:53:00,"2:53 PM",45,7,"21",30.36,10,"Variable","3.5","-","N/A",NA,"Clear",0,"2012-10-06 20:53:00",NA
"153",2012-10-06 15:53:00,"3:53 PM",48,12.9,"24",30.33,10,"NW","10.4","18.4","N/A",NA,"Clear",320,"2012-10-06 21:53:00",NA
"154",2012-10-06 16:53:00,"4:53 PM",46.9,18,"32",30.33,10,"WNW","13.8","-","N/A",NA,"Clear",300,"2012-10-06 22:53:00",NA
"155",2012-10-06 17:53:00,"5:53 PM",46.9,19.9,"34",30.33,10,"NNW","15.0","-","N/A",NA,"Clear",330,"2012-10-06 23:53:00",NA
"156",2012-10-06 18:53:00,"6:53 PM",45,19,"36",30.34,10,"NNW","10.4","-","N/A",NA,"Clear",330,"2012-10-07 00:53:00",NA
"157",2012-10-06 19:53:00,"7:53 PM",39.9,17.1,"40",30.37,10,"West","9.2","-","N/A",NA,"Clear",280,"2012-10-07 01:53:00",NA
"158",2012-10-06 20:53:00,"8:53 PM",37.9,17.1,"43",30.37,10,"ESE","3.5","-","N/A",NA,"Partly Cloudy",120,"2012-10-07 02:53:00",NA
"159",2012-10-06 21:53:00,"9:53 PM",30.9,15.1,"52",30.37,10,"SSE","4.6","-","N/A",NA,"Clear",150,"2012-10-07 03:53:00",NA
"160",2012-10-06 22:53:00,"10:53 PM",28,15.1,"58",30.37,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-07 04:53:00",NA
"161",2012-10-06 23:53:00,"11:53 PM",26.1,14,"60",30.34,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-07 05:53:00",NA
"162",2012-10-07 00:53:00,"12:53 AM",25,14,"63",30.33,10,"ESE","3.5","-","N/A",NA,"Clear",110,"2012-10-07 06:53:00",NA
"163",2012-10-07 01:53:00,"1:53 AM",21.9,12.9,"68",30.32,10,"SE","3.5","-","N/A",NA,"Clear",140,"2012-10-07 07:53:00",NA
"164",2012-10-07 02:53:00,"2:53 AM",21,12.9,"71",30.32,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-07 08:53:00",NA
"165",2012-10-07 03:53:00,"3:53 AM",19.9,10.9,"68",30.29,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-07 09:53:00",NA
"166",2012-10-07 04:53:00,"4:53 AM",18,12,"78",30.3,10,"SSE","3.5","-","N/A",NA,"Clear",150,"2012-10-07 10:53:00",NA
"167",2012-10-07 05:53:00,"5:53 AM",19,12,"74",30.3,10,"Calm","Calm","-","N/A",NA,"Clear",0,"2012-10-07 11:53:00",NA
